"filename", "language", "Pug", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Projects\Libra\controllers\books.js", "JavaScript", 0, 0, 19, 0, 1, 3, 23
"d:\Projects\Libra\controllers\borrowed.js", "JavaScript", 0, 0, 50, 0, 0, 8, 58
"d:\Projects\Libra\controllers\login.js", "JavaScript", 0, 0, 21, 0, 0, 5, 26
"d:\Projects\Libra\db\books.json", "JSON", 0, 106, 0, 0, 0, 0, 106
"d:\Projects\Libra\db\borrowed.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"d:\Projects\Libra\db\configs.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"d:\Projects\Libra\db\fn\getBooks.js", "JavaScript", 0, 0, 6, 0, 0, 2, 8
"d:\Projects\Libra\db\fn\getBorrowed.js", "JavaScript", 0, 0, 6, 0, 0, 2, 8
"d:\Projects\Libra\db\fn\getLogin.js", "JavaScript", 0, 0, 6, 0, 0, 2, 8
"d:\Projects\Libra\db\fn\postBooks.js", "JavaScript", 0, 0, 9, 0, 0, 2, 11
"d:\Projects\Libra\db\fn\postBorrowed.js", "JavaScript", 0, 0, 11, 0, 0, 3, 14
"d:\Projects\Libra\db\login.json", "JSON", 0, 17, 0, 0, 0, 0, 17
"d:\Projects\Libra\index.js", "JavaScript", 0, 0, 20, 0, 5, 10, 35
"d:\Projects\Libra\models\books.js", "JavaScript", 0, 0, 29, 0, 31, 11, 71
"d:\Projects\Libra\models\borrowed.js", "JavaScript", 0, 0, 76, 0, 9, 15, 100
"d:\Projects\Libra\models\login.js", "JavaScript", 0, 0, 34, 0, 6, 8, 48
"d:\Projects\Libra\package-lock.json", "JSON", 0, 3899, 0, 0, 0, 1, 3900
"d:\Projects\Libra\package.json", "JSON", 0, 20, 0, 0, 0, 1, 21
"d:\Projects\Libra\public\css\books.css", "CSS", 0, 0, 0, 76, 0, 15, 91
"d:\Projects\Libra\public\css\error.css", "CSS", 0, 0, 0, 4, 0, 0, 4
"d:\Projects\Libra\public\css\login.css", "CSS", 0, 0, 0, 37, 0, 6, 43
"d:\Projects\Libra\public\css\main.css", "CSS", 0, 0, 0, 47, 0, 10, 57
"d:\Projects\Libra\public\js\books.js", "JavaScript", 0, 0, 88, 0, 12, 13, 113
"d:\Projects\Libra\public\js\login.js", "JavaScript", 0, 0, 37, 0, 3, 9, 49
"d:\Projects\Libra\public\js\main.js", "JavaScript", 0, 0, 9, 0, 2, 2, 13
"d:\Projects\Libra\public\js\tcheck-book.js", "JavaScript", 0, 0, 4, 0, 3, 0, 7
"d:\Projects\Libra\public\js\tools.js", "JavaScript", 0, 0, 12, 0, 0, 1, 13
"d:\Projects\Libra\routers\books-router.js", "JavaScript", 0, 0, 6, 0, 0, 4, 10
"d:\Projects\Libra\routers\borrowed-router.js", "JavaScript", 0, 0, 6, 0, 0, 4, 10
"d:\Projects\Libra\routers\login-router.js", "JavaScript", 0, 0, 6, 0, 0, 4, 10
"d:\Projects\Libra\routers\main-router.js", "JavaScript", 0, 0, 6, 0, 0, 3, 9
"d:\Projects\Libra\test.js", "JavaScript", 0, 0, 7, 0, 0, 1, 8
"d:\Projects\Libra\token\generate-token.js", "JavaScript", 0, 0, 61, 0, 0, 3, 64
"d:\Projects\Libra\token\parse-token.js", "JavaScript", 0, 0, 86, 0, 1, 11, 98
"d:\Projects\Libra\token\token-ing.js", "JavaScript", 0, 0, 26, 0, 1, 3, 30
"d:\Projects\Libra\views\books.pug", "Pug", 29, 0, 0, 0, 0, 3, 32
"d:\Projects\Libra\views\error.pug", "Pug", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Libra\views\layout.pug", "Pug", 14, 0, 0, 0, 0, 1, 15
"d:\Projects\Libra\views\login.pug", "Pug", 17, 0, 0, 0, 0, 4, 21
"d:\Projects\Libra\views\script.pug", "Pug", 3, 0, 0, 0, 0, 2, 5
"Total", "-", 68, 4043, 642, 164, 74, 174, 5165